spelling,summary_meaning,display_letter,full_definition,example_sentence,example_translation,mnemonic_tip
replete,"가득 찬, 충만한",r,"가득 찬, 충만한",The library was replete with rare and fascinating books.,그 도서관은 희귀하고 흥미로운 책들로 가득 차 있었다.,"  “When your plate is complete, it's replete!” (접시가 가득 차면 충만하다)."
overflowing,넘쳐흐르는,o,넘쳐흐르는,Books and papers overflowed his desk.,책과 서류들이 그의 책상을 넘쳐흐르고 있었다.,  'Over' (넘어) + Flow (흐르다). 넘쳐서 흐르는.
brimful,"가득한, 충만한",b,"가득한, 충만한",The only explanation was that its tank was already brimful of water.,유일한 설명은 탱크가 이미 물로 가득 차 있었다는 것이었다.,  'Brim' (가장자리) + Full (가득 찬). 가장자리가 가득 찬.
brimming,"가득 찬, 넘쳐흐르는",b,"가득 찬, 넘쳐흐르는",Her heart was brimming with happiness.,그녀의 마음은 행복으로 가득 차 있었다.,  'Brim' (가장자리) + Ing. 가장자리를 넘어설 듯 가득 찬.
disgorge,"토하다, 쏟아내다",d,"토하다, 쏟아내다",The river disgorges into the ocean just south of the city.,그 강은 도시 바로 남쪽에서 바다로 토해낸다(쏟아낸다).,  Dis (제거) + Gorge (목구멍). 목구멍에서 제거하여 토해내다.
rapine,"약탈, 강탈",r,"약탈, 강탈",The rapine and violence which the barbarians exercised interrupted the commerce.,야만인들이 행사한 약탈과 폭력은 상업을 방해했다.,  'Rape' (강탈)와 관련. 약탈 행위.
devour,"게걸스럽게 먹다, 삼키다",d,"게걸스럽게 먹다, 삼키다",The lions devoured their prey.,사자들이 그들의 먹이를 게걸스럽게 먹어치웠다.,  after devout(금식) we devour (금식 후 게걸스럽게 먹다).
gormandize,"폭식하다, 게걸스럽게 먹다",g,"폭식하다, 게걸스럽게 먹다",The hungry baby is ready to gormandize his next bottle.,배고픈 아기는 다음 병을 게걸스럽게 먹을 준비가 되어 있다.,  GORMANdize = Gourmet + MAN. 미식가 남자가 체면 없이 폭식하다.
carouse,술을 마시며 흥청거리다,c,술을 마시며 흥청거리다,My brother and his friends went out carousing last night.,내 남동생과 그의 친구들은 어젯밤 술을 마시며 흥청거렸다.,  'Carouse' = ROUSE (일으키다). 밤새 술을 마시며 흥을 일으키다.
intemperate,무절제한,i,무절제한,The class of intemperate speech is much broader than the class of hate speech.,무절제한 연설의 범주는 혐오 발언의 범주보다 훨씬 넓다.,  'In' (부정) + Temperate (절제하는). 절제하지 않는.
self-indulgent,방종한,s,방종한,My one self-indulgence is going to the cinema once a month.,나의 유일한 **방종(자기만족)**은 한 달에 한 번 영화를 보러 가는 것이다.,  'Self' + Indulge (탐닉하다). 자신을 탐닉하게 내버려두는.
dissipated,방탕한,d,방탕한,Further activity might dissipate the anger he felt.,더 활동하면 그가 느끼는 분노가 흩어지기를(사라지기를) 바랐다.,"  Dissipate = Disappear. (돈, 에너지가) 점차 사라지다."
ingest,"삼키다, 섭취하다",i,"삼키다, 섭취하다",The drug is more easily ingested in pill form.,그 약물은 알약 형태로 삼키기가 더 쉽다.,  'In' (안으로) + Gest (가져가다). 몸 안으로 가져가다/섭취하다.
gulp,꿀꺽 삼키다,g,꿀꺽 삼키다,She told him not to gulp his food.,그녀는 그에게 음식을 꿀꺽 삼키지 말라고 말했다.,  'Gulp' = G.U.L.P. (액체를) 꿀꺽 삼키다.
guzzle,"폭음하다, 벌컥벌컥 마시다",g,"폭음하다, 벌컥벌컥 마시다","Jason Kelce, shirtless and guzzling a beer.",제이슨 켈시가 셔츠를 벗은 채 맥주를 벌컥벌컥 마시고 있었다.,  'Guzzle' = GUTS. 배짱 있게 벌컥벌컥 마시다.
swill,게걸스럽게 마시다,s,게걸스럽게 마시다,"When you swill a liquid, there is a chance it might spill on you.","당신이 액체를 게걸스럽게 마실 때, 흘릴 가능성이 있다.","  When you swill a liquid, there is a chance it might spill on you. (마시다가 흘리다 - 게걸스럽게 마시는 행위)."
stuff oneself,과식하다,s,과식하다,He'd been stuffing himself with snacks all afternoon.,그는 오후 내내 간식으로 과식했다.,  'Stuff' (채워 넣다) + Oneself (자신). 자신의 배를 채워 넣다.
wolf down,허겁지겁 먹다,w,허겁지겁 먹다,"The men squat in a circle and wolf down the fish, monkey and corn.","남자들은 웅크려 앉아 생선, 옥수수를 허겁지겁 먹어치웠다.",  'Wolf' (늑대) + Down (아래로). 늑대처럼 순식간에 허겁지겁 먹어치우다.
glutted,과식한,g,과식한,"Because the market is glutted, all buyers can demand purity standards.",시장이 과잉 공급되었기 때문에 모든 구매자는 순도 기준을 요구할 수 있다.,  'Glut' = Lot. 많이 먹거나 채워서 넘치는.
bloated,"배가 부른, 팽창한",b,"배가 부른, 팽창한",I felt bloated from eating too much.,너무 많이 먹어서 배가 불렀다(팽만감을 느꼈다).,  'Bloated' = Ballooned. 풍선처럼 배가 부풀어 오르다.
engorged,"잔뜩 먹은, 충혈된",e,"잔뜩 먹은, 충혈된",The jagged veins were engorged with blood.,톱니 모양의 정맥은 피로 가득 차 있었다(충혈되었다).,  'En' (안에) + Gorge (목구멍). 목구멍까지 가득 채워진.
gluttony,"폭식, 대식",g,"폭식, 대식","In his harangue, the preacher condemned the sins of gluttony and sloth.",설교자는 폭식과 나태의 죄를 비난했다.,  glu'TON'ny. (먹는 양이) 톤만큼 될 정도의 폭식.
voracity,"게걸스러움, 탐욕",v,"게걸스러움, 탐욕",One reason is the voracious world demand for timber.,한 가지 이유는 목재에 대한 세계의 게걸스러운 탐욕 때문이다.,  'Voracious' (게걸스러운)의 명사형.
overindulgence,"과도한 탐닉, 과식",o,"과도한 탐닉, 과식","If your face is looking fuller after overindulgence in food and drinks, these tips can help.","음식과 음료를 과도하게 탐닉한 후 얼굴이 부어 보인다면, 이 팁이 도움이 될 수 있다.",  'Over' (과도하게) + Indulge (탐닉). 과도한 탐닉.
intemperance,무절제,i,무절제,She had written back regretting her earlier intemperance.,그녀는 이전에 보였던 무절제를 후회하며 답장을 보냈다.,  'In' (부정) + Temperance (절제). 절제가 없는.
overconsumption,"과소비, 과식",o,"과소비, 과식",Drought and human overconsumption of water from the rivers are the main problem.,가뭄과 강물의 인간에 의한 **과소비(과도한 섭취)**가 주요 문제이다.,"  'Over' (과도하게) + Consumption (소비, 섭취). 과도한 소비/섭취."
consumption,"소비, 탐닉",c,"소비, 탐닉",The jet's high fuel consumption makes it expensive to operate.,그 제트기의 높은 연료 소비량은 운항 비용을 비싸게 만든다.,  'Consume' (소비하다)의 명사형.
devouring,"집어삼키는, 탐욕스러운",d,"집어삼키는, 탐욕스러운","Hatred warps the mind, ravages the heart and devours the soul.","증오는 마음을 왜곡하고, 영혼을 집어삼킨다.",  'Devour' (게걸스럽게 먹다)의 현재 분사형/형용사형.
consuming,"집어삼키는, 소비적인",c,"집어삼키는, 소비적인","The yoga school consumed her life, her family said.",요가 학교가 그녀의 삶을 집어삼켰다고 그녀의 가족이 말했다.,  'Consume' (소비하다)의 현재 분사형/형용사형.
predacious,"포식성의, 약탈하는",p,"포식성의, 약탈하는",a predacious kind of animal--the early geological gangster,포식성의 일종의 동물 - 초기 지질 시대의 갱스터.,  'Predator' + Acquisitive. 포식자처럼 소유욕이 강한.
